;name;rotation_period;orbital_period;diameter;climate;gravity;terrain;surface_water;population;component;src
0;Alderaan;24.0;364.0;12500.0;temperate;1 standard;grasslands, mountains;40;2000000000.0;planets;Alderaan.jpg
1;Yavin IV;24.0;4818.0;10200.0;temperate, tropical;1 standard;jungle, rainforests;8;1000.0;planets;Yavin_IV.jpg
2;Hoth;23.0;549.0;7200.0;frozen;1.1 standard;tundra, ice caves, mountain ranges;100;;planets;Hoth.jpg
3;Dagobah;23.0;341.0;8900.0;murky;;swamp, jungles;8;;planets;Dagobah.jpg
4;Bespin;12.0;5110.0;118000.0;temperate;1.5 (surface), 1 standard (Cloud City);gas giant;0;6000000.0;planets;Bespin.jpg
5;Endor;18.0;402.0;4900.0;temperate;0.85 standard;forests, mountains, lakes;8;30000000.0;planets;Endor.jpg
6;Naboo;26.0;312.0;12120.0;temperate;1 standard;grassy hills, swamps, forests, mountains;12;4500000000.0;planets;Naboo.jpg
7;Coruscant;24.0;368.0;12240.0;temperate;1 standard;cityscape, mountains;;1000000000000.0;planets;Coruscant.jpg
8;Kamino;27.0;463.0;19720.0;temperate;1 standard;ocean;100;1000000000.0;planets;Kamino.jpg
9;Geonosis;30.0;256.0;11370.0;temperate, arid;0.9 standard;rock, desert, mountain, barren;5;100000000000.0;planets;Geonosis.jpg
10;Utapau;27.0;351.0;12900.0;temperate, arid, windy;1 standard;scrublands, savanna, canyons, sinkholes;0,9;95000000.0;planets;Utapau.jpg
11;Mustafar;36.0;412.0;4200.0;hot;1 standard;volcanoes, lava rivers, mountains, caves;0;20000.0;planets;Mustafar.jpg
12;Kashyyyk;26.0;381.0;12765.0;tropical;1 standard;jungle, forests, lakes, rivers;60;45000000.0;planets;Kashyyyk.jpg
13;Polis Massa;24.0;590.0;0.0;artificial temperate ;0.56 standard;airless asteroid;0;1000000.0;planets;Polis_Massa.jpg
14;Mygeeto;12.0;167.0;10088.0;frigid;1 standard;glaciers, mountains, ice canyons;;19000000.0;planets;Mygeeto.jpg
15;Felucia;34.0;231.0;9100.0;hot, humid;0.75 standard;fungus forests;;8500000.0;planets;Felucia.jpg
16;Cato Neimoidia;25.0;278.0;0.0;temperate, moist;1 standard;mountains, fields, forests, rock arches;;10000000.0;planets;Cato_Neimoidia.jpg
17;Saleucami;26.0;392.0;14920.0;hot;;caves, desert, mountains, volcanoes;;1400000000.0;planets;Saleucami.jpg
18;Stewjon;;;0.0;temperate;1 standard;grass;;;planets;
19;Eriadu;24.0;360.0;13490.0;polluted;1 standard;cityscape;;22000000000.0;planets;Eriadu.jpg
20;Corellia;25.0;329.0;11000.0;temperate;1 standard;plains, urban, hills, forests;70;3000000000.0;planets;Corellia.jpg
21;Rodia;29.0;305.0;7549.0;hot;1 standard;jungles, oceans, urban, swamps;60;1300000000.0;planets;Rodia.jpg
22;Nal Hutta;87.0;413.0;12150.0;temperate;1 standard;urban, oceans, swamps, bogs;;7000000000.0;planets;Nal_Hutta.jpg
23;Dantooine;25.0;378.0;9830.0;temperate;1 standard;oceans, savannas, mountains, grasslands;;1000.0;planets;Dantooine.jpg
24;Bestine IV;26.0;680.0;6400.0;temperate;;rocky islands, oceans;98;62000000.0;planets;Bestine_IV.jpg
25;Ord Mantell;26.0;334.0;14050.0;temperate;1 standard;plains, seas, mesas;10;4000000000.0;planets;Ord_Mantell.jpg
26;;0.0;0.0;0.0;;;;;;planets;
27;Trandosha;25.0;371.0;0.0;arid;0.62 standard;mountains, seas, grasslands, deserts;;42000000.0;planets;Trandosha.jpg
28;Socorro;20.0;326.0;0.0;arid;1 standard;deserts, mountains;;300000000.0;planets;Socorro.jpg
